poster_nick,polemica_nick,user_id,mafia_games,games_with_first_vote,games_no_first_vote,voted_civilian,voted_sheriff,voted_own_mafia,voted_own_don,voted_own_black,voted_self,voted_unknown,pct_civilian,pct_sheriff,pct_own_mafia,pct_own_don,pct_own_black,pct_red_town,first_vote_on_protocol_day1,first_vote_on_protocol_day2plus,protocol_day1_ballot_games,protocol_day1_voted_civilian,protocol_day1_voted_sheriff,protocol_day1_voted_own_mafia,protocol_day1_voted_own_don,protocol_day1_voted_own_black,protocol_day1_voted_self,protocol_day1_no_ballot,note
Д. Колбасенко,Данил_Колбасенко,88950,43,43,0,26,2,7,7,14,1,0,60.5,4.7,16.3,16.3,32.6,65.1,0,43,0,0,0,0,0,0,0,43,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Кармин,Кармин,70516,49,49,0,31,10,3,5,8,0,0,63.3,20.4,6.1,10.2,16.3,83.7,3,46,3,2,1,0,0,0,0,46,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Ластхиро,Ластхиро,343,47,47,0,33,4,5,4,9,1,0,70.2,8.5,10.6,8.5,19.1,78.7,0,47,0,0,0,0,0,0,0,47,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Лиса,Лисa,86129,45,45,0,28,5,6,4,10,2,0,62.2,11.1,13.3,8.9,22.2,73.3,1,44,1,0,0,0,0,0,1,44,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Марипоса,Марипоса,128592,35,35,0,17,6,6,5,11,1,0,48.6,17.1,17.1,14.3,31.4,65.7,0,35,0,0,0,0,0,0,0,35,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Саня запчасти,саня запчасти,41582,30,30,0,22,3,3,2,5,0,0,73.3,10.0,10.0,6.7,16.7,83.3,4,26,4,2,1,1,0,1,0,26,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Секрет,Секрет-,88154,45,44,1,27,6,1,9,10,1,0,61.4,13.6,2.3,20.5,22.7,75.0,0,44,0,0,0,0,0,0,0,45,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
ФДМ,ФДМ,1306,14,14,0,7,5,1,0,1,1,0,50.0,35.7,7.1,0.0,7.1,85.7,0,14,0,0,0,0,0,0,0,14,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Фартушная,Фартушная,1302,12,12,0,10,0,0,2,2,0,0,83.3,0.0,0.0,16.7,16.7,83.3,0,12,0,0,0,0,0,0,0,12,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
Фырчик,Фырчик,78547,44,36,8,23,5,5,1,6,2,0,63.9,13.9,13.9,2.8,16.7,77.8,1,35,1,1,0,0,0,0,0,43,"Только роль мафия, не дон. Голос = первый кружок голосования (votes.num>=1) в первый день, где в протоколе вообще было голосование. В оффлайн-турнирах Polemica в 1-й день голосования почти нет (zeroVoting=none), поэтому это обычно день 2 после первого отстрела. Красные = мирные; шериф отдельно; вторая мафия и дон считаются порознь."
